id,name,label,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Wikipedia,Deweight,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
57,Inria Sans,Inria Sans,Sans,Humanist,Meta,Inria,Google,Grégori Vincens;Jérémie Hornus,300;300i;400;400i;700;700i,23.76,32.64,1.37,1.47,1.35,1.45,0.974328358208955,0.72,0.68,1.03,19,25,https://fonts.google.com/specimen/Inria+Sans,2019,,,,,"859,105,388",8,,,,15,,,,17,8,6,,,3,65,
58,Instrument Sans,Instrument Sans,Sans,Grotesque,NeoGrotesque,,Google,Rodrigo Fuenzalida;Jordan Egstad,400;400i;500;500i;600;600i;700;700i,24.48,34.56,1.41,1.39,1.4,1.4,1.03164179104478,0.70,0.72,0.97,18,23,https://fonts.google.com/specimen/Instrument+Sans,2023,,,41,,"542,565,036",4,,60,,,5,,,66,8,9,15,,4,153,
59,Inter,Inter,Sans,Grotesque,NeoGrotesque,,Google,Rasmus Andersson,100..900;100..900i,26.2,34.92,1.33,1.37,1.35,1.35,1.04238805970149,0.76,0.72,0.97,18,23,https://fonts.google.com/specimen/Inter,2017,,,2,,"307,203,582,517",69,,99,,15,15,15,,161.25,10,10,,15,10,261.25,Evernote;Notion;Peloton
60,Interstate,Interstate,Sans,Geometric,DIN,Interstate,Adobe,Tobias Frere-Jones;Frere-Jones Type,100;100i;200;200i;300;300i;400;400i;500;500i;700;700i;800;800i;900;900i,25.2,33.6,1.33,1.43,1.35,1.45,1.00298507462687,0.76,0.70,1.00,18,24,https://fonts.adobe.com/fonts/interstate,1993,ljr4jdi,14,,,,,87,,,,15,15,,117,10,8,,5,8,197,Berry Good
61,ITC Avant Garde Gothic Pro,Avant Garde Gothic,Sans,Geometric,Futura,,Adobe,Herb Lubalin;Tom Carnase;Monotype,300;500;700,26.59,35.52,1.34,1.35,1.35,1.35,1.06029850746269,0.74,0.74,0.95,17,23,https://fonts.adobe.com/fonts/itc-avant-garde-gothic,1970,heq1pzb,23,,5,,,78,,97,,15,15,15,190,10,7,,,1,260,
62,IvyPresto Text,IvyPresto,Serif,Contemporary,Glyphic,,Adobe,Jan Maack,100;100i;300;300i;400;400i;600;600i;700;700i;,25.15,34.94,1.39,1.37,1.4,1.35,1.04298507462687,0.72,0.72,0.97,18,23,https://fonts.adobe.com/fonts/ivypresto-text,2020,cul0cor,,,31,,,,,71,15,5,,,91,9,4,,,,127,
63,JetBrains Mono,JetBrains Mono,Mono,GeometricMono,Mono,,Google,JetBrains;Philipp Nurullin;Konstantin Bulenkov,100..800;100..800i,26.4,35.04,1.33,1.37,1.35,1.35,1.04597014925373,0.76,0.74,0.95,17,23,https://fonts.google.com/specimen/JetBrains+Mono,2020,,,,,"1,520,589,354",12,,,,15,5,,,23,5,2,,,10,33,
64,Josefin Sans,Josefin Sans,Sans,Geometric,Futura,Josefin,Google,Santiago Orozco,100..700;100..700i,19.87,34.7,1.75,1.38,1.75,1.4,1.03582089552239,0.58,0.72,0.97,18,23,https://fonts.google.com/specimen/Josefin+Sans,2010,,,41,,"20,635,687,482",49,,60,,,5,,,77.25,4,4,,,,93.25,
65,Jost,Jost,Sans,Geometric,Futura,,Google,Owen Earl,100..900;100..900i,22.08,33.6,1.52,1.43,1.5,1.45,1.00298507462687,0.66,0.70,1.00,18,24,https://fonts.google.com/specimen/Jost,2018,,,,,"16,162,099,831",47,,,,15,5,,,31.75,8,10,10,5,10,121.75,Merge Records
66,Karla,Karla,Sans,Grotesque,Blake,,Google,Jonny Pinhorn,200..800;200..800i,22.99,30.14,1.31,1.59,1.3,1.6,0.899701492537313,0.76,0.62,1.13,20,27,https://fonts.google.com/specimen/Karla,2012,,,23,,"25,008,562,156",51,,78,,15,5,,,110.75,8,6,10,5,10,168.75,The Hollywood Reporter
