id,name,label,shortlabel,superclass,classification,subclass,family,distribution,designer,rg,xHeight,capHeight,xHeightRatio,capHeightRatio,xHeightRatioRounded,capHeightRatioRounded,adjust,xHeightPct,capHeightPct,0.70,18,24,link,Year,stylesheet,100 Greatest Fonts,Typewolf Google,Typewolf Adobe,Google Analytics,Google Analytics Score,100 Greatest Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,FontsInUse,Adjust,Score,Quality,Utility,Underrated Boost,In Use Boost,Weight Boost,Rating,inuse
115,Questa Slab,Questa Slab,Questa Slab,Serif,Slab,Slab,Questa,Adobe,Jos Buivenga;Martin Majoor,300;300i;400;400i;500;500i;700;700i;900;900i,21.54,31.76,1.47,1.51,1.45,1.5,0.948059701492537,0.68,0.66,1.06,19,25,https://fonts.adobe.com/fonts/questa-slab,2010,wvx6ogz,,,41,,,,,15,5,5,,25,9,8,,,,97,
116,Radio Canada,Radio Canada,Radio Canada,Sans,Humanist,Frutiger,,Google,Charles Daoud;Coppers and Brasses;Alexandre Saumier Demers;Jacques Le Bailly,300;300i;400;400i;500;500i;600;600i;700;700i,24.72,33.12,1.34,1.45,1.35,1.45,0.98865671641791,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Radio+Canada,2017,,,,,"821,998,791",7,,,,,,10,11.75,9,9,15,5,5,107.75,Radio Canada
117,Raleway,Raleway,Raleway,Sans,Geometric,Proxima,,Google,Matt McInerney;Pablo Impallari;Rodrigo Fuenzalida,100..900;100..900i,25.01,34.08,1.36,1.41,1.35,1.4,1.01731343283582,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Raleway,2010,,,39,,"115,784,582,865",67,,62,,,5,,83.75,1,4,,10,9,87.75,
118,Roboto,Roboto,Roboto,Sans,Grotesque,NeoGrotesque,Roboto,Google,Christian Robertson,100;100i;300;300i;400;400i;500;500i;700;700i;900;900i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto,2011,,,15,,"3,416,100,879,150",74,,86,,15,15,,134.5,6,8,-15,15,6,167.5,United Nations;Technische Universität München;Max Planck Institute;London School of Economics;Louvre
119,Roboto Mono,Roboto Mono,Roboto Mono,Mono,GrotesqueMono,Mono,Roboto,Google,Christian Robertson,100..700;100..700i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Mono,2011,,,,,"148,125,665,090",68,,,,15,5,,37,6,2,,5,10,49,Vox
120,Roboto Serif,Roboto Serif,Roboto Serif,Serif,Contemporary,MetaSerif,Roboto,Google,Commercial Type;Greg Gazdowicz,100..900;100..900i,25.78,34.08,1.32,1.41,1.3,1.4,1.01731343283582,0.76,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Serif,2011,,,,,"2,445,495,676",19,,15,15,,5,,39.75,4,6,,5,10,63.75,Cleveland Museum of Art
121,Roboto Slab,Roboto Slab,Roboto Slab,Serif,Slab,Slab,Roboto,Google,Christian Robertson,100..900;100..900i,25.36,34.13,1.35,1.41,1.35,1.4,1.01880597014925,0.74,0.72,0.97,18,23,https://fonts.google.com/specimen/Roboto+Slab,2011,,,,,"66,093,288,374",62,,,,,5,,20.5,8,10,20,5,10,120.5,Narratively
122,Roc Grotesk,Roc Grotesk,Roc Grotesk,Sans,Grotesque,Blake,,Adobe,Nikola Kostić;Zoran Kostić;Kostic Type Foundry,400;100;200;300;500;600;700;800;900,23.71,31.58,1.33,1.52,1.35,1.5,0.942686567164179,0.76,0.66,1.06,19,25,https://fonts.adobe.com/fonts/roc-grotesk,2012,qlm6yyj,,,16,,,,,86,,5,,91,9,6,,,4,145,
124,Rubik,Rubik,Rubik,Sans,Geometric,DIN,,Google,Hubert and Fischer;Meir Sadan;Cyreal;Daniel Grumer;Omaima Dajani,300..900;300..900i,24.96,33.6,1.35,1.43,1.35,1.45,1.00298507462687,0.74,0.70,1.00,18,24,https://fonts.google.com/specimen/Rubik,2015,,,36,,"77,026,536,425",65,,65,,15,5,,101.25,6,6,,15,10,137.25,Fandom;Tide;Electro Harmonix
125,Rustica,Rustica,Rustica,Sans,Humanist,Johnston,,Adobe,TipoType,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,24.24,33.84,1.4,1.42,1.4,1.4,1.01014925373134,0.72,0.70,1.00,18,24,https://fonts.adobe.com/fonts/rustica,2021,ofu8umn,,,,,,,,,,5,10,15,10,10,5,5,9,120,Brighton Museums
126,Schoolbook,Schoolbook,Schoolbook,Serif,Modern,Century,,Adobe,Elena Tzaregorodtseva;Manvel Shmavonyan;Paratype,400;400i;700;700i;,21.89,32.64,1.49,1.47,1.5,1.45,0.974328358208955,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/schoolbook,1949,wlu1kif,,,,,,,,,,5,5,10,10,8,,,2,90,
127,Sofia Pro,Sofia Pro,Sofia,Sans,Geometric,Neuzeit,,Adobe,Olivier Gourvat;Mostardesign,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,22.42,33.07,1.48,1.45,1.5,1.45,0.987164179104478,0.68,0.68,1.03,19,25,https://fonts.adobe.com/fonts/sofia,2008,rnn3pdy,,,14,,,,,88,,5,,93,10,8,,15,8,173,Mast;Hims;Hers
